Title,Target Problem,Computer system stack ,Hardware system,Included carbon life cycle stage(s),Link,School/Insititution,Venue,Year
Carbontracker: Tracking and Predicting the Carbon Footprint of Training Deep Learning Models,Modeling,following from high level,"Datacenter, Edge","Manufacturing, Operation, Transport",https://Arxiv.org/abs/2007.03051,UCPH,Arxiv,2020
ESSENCE: Exploiting Structured Stochastic Gradient Pruning for Endurance-Aware ReRAM-Based In-Memory Training Systems,Optimation,following from high level,Datacenter,Operation,https://ieeexplore.ieee.org/document/9926186,Duke,TCADICS ,2022
ReTransformer: ReRAM-based Processing-in-Memory Architecture for Transformer Acceleration,Optimation, low level order,"Datacenter, Edge, Mobile",Operation,https://ieeexplore.ieee.org/document/9256523,Duke ,ICCAD,2020
Chasing Carbon: The Elusive Environmental Footprint of Computing,Modeling,following from high level,Datacenter,"End-of-life, Manufacturing, Operation, Transport",https://Arxiv.org/pdf/2011.02839.pdf,Harvard ,HPCA,2022
Assessing embodied carbon emissions of communication user devices by combining approaches,Modeling, low level order,Datacenter,Manufacturing,https://www.sciencedirect.com/science/article/pii/S1364032123002794,Ericsson Research,RSER,2023
Carbon Explorer: A Holistic Framework for Designing Carbon Aware Datacenters,"Modeling, Optimation", low level order,Datacenter,"Manufacturing, Operation",https://Arxiv.org/pdf/2201.10036.pdf,Meta,ASPLOS,2023
Towards Sustainable Computing: Accessing the Cabon Footprint of Heterogeneous Systems,"Modeling, Optimation", low level order,"Datacenter, Edge, Mobile, Tiny",Manufacturing,https://Arxiv.org/abs/2306.09434,ASU,Arxiv,2023
Sustainable AI Processing at the Edge,"Modeling, Optimation", low level order,Edge,"Manufacturing, Operation",https://Arxiv.org/pdf/2207.01209.pdf,PITT,Micro,2022
When the Metaverse Meets Carbon Neutrality: Ongoing Efforts and Directions,"Modeling, Optimation",following from high level,"Datacenter, Edge","Manufacturing, Operation",https://Arxiv.org/pdf/2301.10235.pdf,HUST,Arxiv,2023
ACT: Designing sustainable computer systems with an architectural carbon modeling tool,"Modeling, Standardization", low level order,"Datacenter, Edge, Mobile, Tiny",Manufacturing,https://ieeexplore.ieee.org/document/10122998,Harvard,ISCA,2022
Design space exploration and optimization for carbon-efficient extended reality systems,"Modeling, Standardization", low level order,"Datacenter, Edge, Mobile, Tiny","Manufacturing, Operation",https://Arxiv.org/abs/2305.01831,Harvard ,Arxiv,2023
Measuring the Carbon Intensity of AI in Cloud Instances,"Modeling, Optimation",following from high level,Datacenter,"Manufacturing, Operation",https://dl.acm.org/doi/pdf/10.1145/3531146.3533234,AI2,FACCT,2022
GreenScale: Carbon-Aware Systems for Edge Computing,"Modeling, Optimation",following from high level,Edge,"Manufacturing, Operation",https://Arxiv.org/pdf/2304.00404.pdf,KU,Arxiv,2023
"Sustainable AI: Environmental Implications, Challenges and Opportunities","Modeling, Optimation",following from high level,Datacenter,"Manufacturing, Operation",https://proceedings.mlsys.org/paper_files/paper/2022/file/462211f67c7d858f663355eff93b745e-Paper.pdf,Meta ,MLSys,2022
Peeling Back the Carbon Curtain: Carbon Optimization Challenges in Cloud Computing,"Modeling, Optimation",following from high level,Datacenter,"Manufacturing, Operation",https://hotcarbon.org/2023/pdf/a8-wang.pdf,CMU,HotCarbon,2023
Is TinyML Sustainable?Assessing the Environmental Impacts of Machine Learning on Microcontrollers,Modeling, low level order,Tiny,"Manufacturing, Operation",https://Arxiv.org/pdf/2301.11899.pdf,Harvard,Arxiv,2023
Assessing the embodied carbon footprint of IoT edge devices with a bottom-up life-cycle approach,Modeling, low level order,Tiny,Manufacturing,https://Arxiv.org/abs/2105.02082,UCLouvain,JCP,2021
