Name,Link,Description,Included carbon life cycle stage,Hardware system,Computer system stack ,Datacenter stack,Target Problem,Paper Link,Operation CPU energy,Operation CPU usage,Operation GPU energy,Operation GPU usage,Operation intensity,Embodied carbon,Operation intensity,Embodied carbon intensity,PUE,CDP/CEP,tCDP/tCEP,CCI,SCI,GPUE,CUE,ASC,JSC
Codecarbon,https://github.com/mlco2/codecarbon,"Green-Algorithms and **CodeCarbon** are the only Python tools that report the estimate of consumed or emissions, discriminated by each component: memory, CPU and GPU. CodeCarbon performs these measurements every 15 seconds.",Operation,"Datacenter, Edge",Application,"Application, Platform",Modeling,, [RAPL](#RAPL) file,50%,Uses [pynvml](#pynvml) library,N/A,Choose location of operation,N/A,Choose location of operation,N/A,0,0,0,0,1,0,0,0,0
GreenAlgorithms,https://github.com/GreenAlgorithms/green-algorithms-tool,"**Green-Algorithms** and CodeCarbon are the only Python tools that report the estimate of consumed or emissions, discriminated by each component: memory, CPU and GPU.",Operation,"Datacenter,Edge",Application,"Application, Platform",Modeling,https://onlinelibrary.wiley.com/doi/10.1002/advs.202100707, $TDP_{core}\cdot core number$ ,100%, $TDP_{per GPU}$,100%,Choose location or source of operation,N/A,Choose location or source of operation,N/A,1,0,0,0,1,1,1,0,0
Cumulator,https://github.com/epfl-iglobalhealth/cumulator,A tool to quantify and report the carbon footprint of machine learning computations and communication. It is the only tool that estimates the cost of communications.,Operation,"Datacenter, Edge",Application,"Application, Platform",Modeling,https://infoscience.epfl.ch/record/278189?ln=en,N/A,N/A, $TDP_{per GPU}$ ,N/A,Choose location or time of operation,N/A,Choose location or time of operation,N/A,0,0,0,0,1,0,0,1,0
Eco2AI,https://github.com/sb-ai-lab/Eco2AI,A Python library which accumulates statistics about power consumption and $CO_2$ emission during running code.,Operation,"Datacenter, Mobile, Edge","Application, OS","Application, Platform",Modeling,https://arxiv.org/abs/2208.00406, $TDP_{cpu}$,uses os, Uses [pynvml](#pynvml) library,N/A,Choose location of operation,N/A,Choose location of operation,N/A,1,0,0,0,1,1,1,0,0
Carbontracker,https://github.com/lfwa/carbontracker,A tool to quantify and report the energy consumption and carbon footprint of machine learning computations. ,Operation,"Datacenter, Edge","Application, OS","Application, Platform",Modeling,, [RAPL](#RAPL) file,[RAPL](RAPL) files, Uses [pynvml](#pynvml) library,N/A,Using external [API](#API)s or choose location of operation.,N/A,Using external APIs or choose location of operation.,N/A,1,0,0,0,1,1,1,1,0
EIT,https://github.com/Breakend/experiment-impact-tracker,"A simple drop-in method to track energy usage, carbon emissions, and compute utilization of your system. ",Operation,"Datacenter, Mobile, Edge", OS,Platform,Modeling,https://arxiv.org/abs/2002.05651, [RAPL](#RAPL) file,uses psutil python module, Uses [pynvml](#pynvml) library,Uses Popen to open a thread,Using external APIs or choose location of operation.,N/A,Using external APIs or choose location of operation.,N/A,1,0,0,0,1,1,1,0,0
TinyML,https://github.com/harvard-edge/TinyML-Footprint,A tool to calculate embodied and operation carbon of TinyML in different hardware configuration.,"Operation, Manufacturing, End-of-life",Tiny,"Microarchitecture, Circuit",N/A,"Modeling, Optimization",https://Arxiv.org/pdf/2301.11899.pdf,plugin EPA,100%,N/A,N/A,Choose location or source of operation,Plugin LCA,Choose location or source of operation,Choose location of manufacturing.,0,1,1,1,0,0,0,0,0
Greenchip,https://github.com/Pitt-JonesLab/Greenchip,A tool designed to compare energy and emission costs between computer chips,"Operation, Manufacturing, End-of-life","Datacenter, Mobile, Edge, Tiny","Microarchitecture, Circuit",Platform,"Modeling, Optimization",http://www.sciencedirect.com/science/article/pii/S2210537917300823,plugin McPAT,plugin McPAT,plugin McPAT,plugin McPAT,Choose location or source of operation,Plugin LCA,Choose location or source of operation,N/A,0,1,1,1,0,0,0,0,0
3D-Carbon,https://anonymous.4open.science/r/3D-Carbon-9D5B,A analytical tool to calculate embodied and operation carbon of 3D/2.5D ICs.,"Operation, Manufacturing","Datacenter, Mobile, Edge, Tiny","Microarchitecture, Circuit, Device&tech",Platform,"Modeling, Optimization",https://arxiv.org/abs/2307.08060,plugin McPAT/ Calculate by chips'  parameters,plugin McPAT,plugin McPAT,plugin McPAT/ Calculate by chips‘ parameters,Choose location or source of operation,Calculate based on hardware parameters.,Choose location or source of operation,Choose location or source of manufacturing.,0,1,1,1,0,0,0,0,0
ACT,https://github.com/facebookresearch/ACT,"An analytical, architectural carbon model to estimate operational and embodied carbon.","Operation, Manufacturing","Datacenter, Mobile, Edge, Tiny","Microarchitecture, Circuit, Device&tech",Platform,"Modeling, Optimization",https://ieeexplore.ieee.org/document/10122998,plugin McPAT,plugin McPAT,plugin McPAT,plugin McPAT,N/A,Calculate based on hardware parameters.,Choose location or source of operation,Choose location or source of manufacturing.,0,1,1,1,0,0,0,0,0
